user1,user2,timestamp
1158,288,338302609444
288,2158,338302865556
2158,1183,338303278333
1183,3991,3383039575
3991,1113,338304029167
1113,468,338304040833
468,2810,338306239722
2810,2989,338306530833
2989,1704,338308486944
1704,899,338309393889
899,4114,338309886667
4114,445,338310767778
445,650,338311211944
650,61,338311856111
61,3968,33831202
3968,352,338312557778
352,2497,338313659167
2497,1616,338313971944
1616,492,338315673611
492,1776,338316475556
1776,579,338316490278
579,1541,338316680556
1541,3727,338317361667
3727,4093,338320019167
4093,4645,338320042778
4645,3526,33832026
3526,4364,338321600556
4364,2282,338322342222
2282,4062,338335818611
4062,1314,338340069722
1314,3221,338342175833
3221,2230,33834232
2230,86,338354743333
86,2110,338387116111
3949,3023,338669248333
3023,4152,338670636667
4152,1151,338675366667
1151,1084,338679781389
1084,2693,338772734722
2693,4050,338775817778
2506,1119,340641730278
1119,1357,34066159
1357,1423,340662449722
1423,2278,340663046667
2278,266,340663418611
256,927,340171714722
927,2147,340172198056
2147,3046,340176663056
3046,4169,340177345833
4169,2097,340181029444
2097,348,340182826111
348,27,340183253889
27,1936,340183666944
1936,763,340184349167
763,1011,340186098611
1011,2052,340194705833
2052,3899,340201511944
3899,3756,340202661667
3756,3596,340203602778
3596,4584,340244071944
241,701,339547831111
701,2234,340403511389
2234,2345,340647252222
2345,3912,341358536667
3912,2448,3418459825
2448,4397,342299855
4397,4304,342411304722
4304,2770,342485501111
27,2655,339224944444
2655,3912,339575123056
3912,4322,341080348889
4322,2955,341664996944
2955,1552,342256641389
1158,1435,3418724375
1435,2458,341872723056
2458,335,341873119722
335,1113,341873832778
1113,4430,341883268889
4430,3631,341886311667
3352,730,339712431111
730,3529,339713301111
3529,4064,339713688889
4064,1740,339723848611
638,1537,342107446667
1537,1341,342113155556
1341,4430,342118463611
4430,335,34211869
3266,537,33930158
537,98,339302903889
98,609,339302910278
609,498,339303439722
1612,27,338963829167
27,4298,338964581111
4298,3557,338964972222
3557,3454,338966569444
3454,2158,338966604167
2158,288,338966649444
288,237,338966735
237,4114,3389667425
4114,600,338968256667
600,3962,338968275556
3962,2332,338968463889
2332,1549,338968509722
1549,3757,338969792222
3757,3940,338970078889
3940,2001,3389700825
2001,4509,338970778889
4509,3629,338971250278
3629,3939,338974489167
3939,1494,338975384167
1494,4282,338979441389
4282,3378,33898022
3378,890,338984309444
890,3472,338986294722
3472,2043,338987315278
537,4505,338728658611
4505,1960,3387298025
1960,3062,338824552778
3062,1089,338826532778
1089,4118,338827925
4118,1915,340437195
1915,661,342347700278
4063,3573,339847758889
3573,2497,339895659444
2497,2201,3401326275
2201,2423,342317625278
288,4041,339818331111
4041,1093,339819693611
1093,804,339827886944
804,339,3406220325
1537,995,339488246389
995,1341,339488551389
1341,2510,339500795278
2510,759,3395026125
1615,2292,341983273889
2292,4445,341985343333
4445,2882,341986657778
2882,1477,342035640833
1477,2027,342153815278
2027,1920,342325796667
1797,27,339372173056
27,322,3394659825
322,1297,339535575556
1297,3773,339656669167
3773,2923,339660774444
2923,1845,340541711667
584,4298,341699554722
4298,1959,34170042
1959,1466,341783045556
1466,452,341866588056
1150,3433,342263241389
3433,2793,342281593056
2793,2147,342309124722
2147,2097,342318023333
2097,763,342321525556
763,1749,342365183056
1158,1435,338436063889
1435,3266,338436429444
3266,1936,338437817778
1936,1844,338437931667
1844,4421,338437936111
4421,2510,338438439722
2510,4237,338438882222
4237,1113,338438964167
1113,3799,338454602222
1884,173,339254231667
173,653,339261333056
653,1643,339265953889
1643,2570,339266924167
2570,3722,339268262222
3722,2079,339275295
2079,27,339299352778
335,1802,339944816389
1802,4368,339944934722
4368,3785,339945038889
3785,4441,339945348333
4441,1367,339945366389
1367,3197,339945399722
3197,679,339945620556
679,2159,339946316111
596,822,342253745556
822,3662,3425701675
3662,1539,342570345278
1539,1546,342572640278
1546,4132,342574230833
4132,4263,342574238333
4263,335,342575441111
335,1264,34258135
1264,3865,342585689167
3865,2135,342588800278
2135,3331,342601666389
360,2775,339519933333
2775,3665,339526155556
3665,2533,339527159167
2533,879,339532611389
879,634,339541156389
634,46,34251304
46,2296,342515013333
2296,4504,342516296944
4504,1293,342525246944
1036,537,33898122
537,1093,339021085556
1093,3532,339028754444
3532,2941,339051194722
2941,3916,339703826667
3916,1586,3397844725
1586,1549,340312950556
1549,2244,340472858056
2244,4669,340698714722
4669,3516,341126649722
3516,725,342274470833
3815,2894,3423681725
2894,4700,342368207778
4700,288,342368236111
288,4574,342368615278
4574,3266,342368785556
3266,3636,342369759444
3636,537,342369809167
537,225,342370104722
225,4237,342379837778
4237,4017,342379866111
4017,3079,342381025833
3079,335,342388443889
1466,804,33952575
804,3876,3395265525
3876,1242,339526958333
1242,2107,339527146667
2107,360,339527667778
360,3400,339532640278
3400,36,339533203056
36,1384,339537540833
1384,1961,339537608611
1961,2350,339537697222
2350,2497,339541693333
2497,4605,339544404167
4605,651,339556004167
651,4224,339589473611
4224,2913,339666899167
2913,448,339708209722
2812,1779,339620434167
1779,3969,339627275278
3969,2271,339634808056
2271,2751,339640613889
2751,4517,339640818333
2107,1167,339937252778
1167,329,339943715556
329,1287,339944611111
1287,599,339958932778
599,3117,340190898333
3117,843,340244549722
361,122,342014518333
122,4499,342014642778
4499,1248,342015395556
1248,3256,342016470278
3256,1560,34201946
1560,2401,342020322778
2401,2908,342020331111
2908,428,342021409167
428,1915,342025865833
1915,3787,3420304125
1920,2533,339789263611
2533,2311,339789445833
2311,2043,339794161944
2043,1154,339798178611
1154,1073,339802343333
1073,397,341598177222
3981,27,338365896667
27,4397,338409436944
4397,4106,338555882778
4106,747,339332151111
747,3287,339414932222
3287,3836,340082020556
3836,3054,340161121111
3054,3099,3401740825
3099,1926,340472421667
1926,1110,340488418889
1110,2083,340722743889
2083,1041,341425923333
1041,509,341796343889
509,4385,341890232778
4385,2913,342059907222
2913,2648,342063642222
2648,4381,342063734444
4381,2232,342078985
2232,3531,342465013056
27,3283,338387667222
3283,1037,338473456667
1037,1618,338507754167
1618,1275,338528171111
1275,3655,338544078889
3655,2609,338547691944
2609,1612,3386602675
1612,551,338681560833
551,2391,3386969775
2391,3685,338723590556
3685,954,338781631667
954,897,3387820625
897,4201,338782100833
4201,2712,3387933625
2712,3771,33881305
3771,4049,3388244175
4049,4125,3388533325
4125,1392,3388537425
1392,3023,338853761944
3023,580,338853780556
580,3837,338853801389
3837,407,338853803333
407,4515,338853806944
